metascore,top_100_director,in_a_collection,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,Thriller,War,Western,other genre,production_cos,en,es,fr,it,de,other_spk_lng,profit,budget,revenue,popularity,runtime,age,vote_count,vote_average,views
40.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,0.0,0.0,13.922815,108.0,7.866666666666788,77.0,7.1,9.824561403508772
96.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,6200000.0,1800000.0,8000000.0,7.301719,125.0,68.95000000000005,291.0,7.6,18.228070175438596
65.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,1,0,0,14300000.0,200000.0,14500000.0,12.429704,99.0,55.950000000000045,909.0,7.6,16.263157894736842
67.0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,165057016.0,17000000.0,182057016.0,15.783615,103.0,25.366666666666788,340.0,6.5,54.07017543859649
83.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,19889877.0,3800000.0,23689877.0,13.180457,121.0,43.7833333333333,391.0,7.8,16.140350877192983
69.0,0.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,376348924.0,35000000.0,411348924.0,19.10673,126.0,31.200000000000045,2145.0,7.0,102.98245614035088
40.0,0.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,43312294.0,0.0,43312294.0,15.174973,117.0,22.950000000000045,359.0,6.8,7.140350877192983
63.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,1,0,1,1,263882411.0,115000000.0,378882411.0,11.396099,141.0,26.116666666666788,1138.0,6.8,94.15789473684211
78.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,10500000.0,1500000.0,12000000.0,11.954806,119.0,66.95000000000005,502.0,7.8,18.75438596491228
64.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7,1,0,0,0,0,1,70877916.0,100000000.0,170877916.0,12.477872,143.0,13.700000000000045,2344.0,7.4,15.578947368421053
91.0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,17700000.0,2300000.0,20000000.0,4.806374,100.0,41.2833333333333,80.0,7.4,13.035087719298245
40.0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0.0,0.0,0.0,2.923672,92.0,37.86666666666679,35.0,7.1,7.912280701754386
90.0,1.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,1,34542841.0,13000000.0,47542841.0,36.629307,200.0,45.700000000000045,3418.0,8.3,60.26315789473684
83.0,1.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,39946780.0,0.0,39946780.0,12.050759,96.0,41.36666666666679,600.0,7.8,19.70175438596491
81.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,12750246.0,6000000.0,18750246.0,4.672036,91.0,17.366666666666788,75.0,6.6,9.157894736842104
57.0,0.0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,167833357.0,22000000.0,189833357.0,9.665424,97.0,25.783333333333303,501.0,6.3,31.842105263157894
83.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,105981275.0,3000000.0,108981275.0,35.529554,133.0,44.7833333333333,3001.0,8.3,60.280701754385966
70.0,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,58326666.0,15000000.0,73326666.0,10.627364,92.0,32.5333333333333,1475.0,7.1,25.087719298245613
47.0,0.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,42367405.0,60000000.0,102367405.0,8.462364,131.0,22.450000000000045,383.0,6.2,8.140350877192983
77.0,0.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,0,0,0,1,1932305.0,55000000.0,56932305.0,10.308442,110.0,20.283333333333303,756.0,6.2,12.789473684210526
40.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,127067.0,0.0,127067.0,1.527551,107.0,16.283333333333303,20.0,7.2,10.56140350877193
59.0,0.0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,170200000.0,80000000.0,250200000.0,11.054251,88.0,23.783333333333303,1335.0,6.5,16.57894736842105
60.0,1.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,82766062.0,54000000.0,136766062.0,17.185349,162.0,29.700000000000045,1589.0,7.1,16.24561403508772
93.0,0.0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,1,4628948.0,400000.0,5028948.0,10.43389,91.0,45.450000000000045,1742.0,7.8,56.85964912280702
40.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0.0,0.0,0.0,5.376821,79.0,13.033333333333303,148.0,8.1,10.964912280701755
37.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,0.0,0.0,5.673735,93.0,26.866666666666788,86.0,5.0,7.0
76.0,1.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,166465037.0,100000000.0,266465037.0,9.644542,157.0,12.783333333333303,1527.0,7.4,15.035087719298245
58.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,540350000.0,32350000.0,572700000.0,14.586087,135.0,37.2833333333333,4763.0,7.9,87.80701754385964
41.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,231275374.0,16000000.0,247275374.0,9.844558,107.0,25.700000000000045,1894.0,6.5,64.54385964912281
40.0,0.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,8.0,8.0,16.0,10.187623,98.0,24.950000000000045,139.0,6.4,6.140350877192983
40.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0,1,0,0,38901218.0,0.0,38901218.0,6.99099,138.0,52.36666666666679,145.0,7.3,10.473684210526315
54.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,30012507.0,20000000.0,50012507.0,9.715639,103.0,25.033333333333303,168.0,6.5,10.175438596491228
61.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,17186027.0,6500000.0,23686027.0,6.683723,93.0,36.2833333333333,455.0,6.9,14.473684210526315
56.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2,1,0,0,0,0,0,142295562.0,100000000.0,242295562.0,6.919314,115.0,24.200000000000045,553.0,5.6,35.85964912280702
85.0,1.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,53611975.0,7000000.0,60611975.0,12.61469,98.0,24.366666666666788,2080.0,7.7,87.29824561403508
82.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,46200000.0,3600000.0,49800000.0,10.332025,112.0,24.866666666666788,365.0,7.1,49.01754385964912
1.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,-15000000.0,15000000.0,0.0,6.387469,88.0,24.616666666666788,110.0,4.4,9.017543859649123
60.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,6,1,1,1,1,1,1,95944660.0,57000000.0,152944660.0,10.920124,144.0,22.866666666666788,1414.0,7.2,14.912280701754385
40.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,6.723456,120.0,65.86666666666679,111.0,6.9,7.947368421052632
67.0,0.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,1,0,0,1,-13389116.0,55000000.0,41610884.0,9.672094,122.0,21.950000000000045,670.0,6.8,16.719298245614034
74.0,0.0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2,1,0,0,0,0,0,136997168.0,40000000.0,176997168.0,12.637158,128.0,27.116666666666788,392.0,6.8,33.08771929824562
71.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,109000000.0,24000000.0,133000000.0,12.596956,119.0,33.7833333333333,490.0,6.9,22.719298245614034
37.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,92217396.0,15000000.0,107217396.0,11.247957,86.0,26.533333333333303,1684.0,6.4,79.36842105263158
38.0,0.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,6,1,0,0,0,0,1,63905366.0,65000000.0,128905366.0,18.860681,123.0,15.700000000000045,1276.0,5.7,3.7719298245614037
77.0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,1,0,0,1,17341568.0,6000000.0,23341568.0,16.302466,106.0,25.116666666666788,3334.0,8.1,104.56140350877193
73.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,400517383.0,63000000.0,463517383.0,33.366332,136.0,21.450000000000045,9079.0,7.9,98.17543859649123
33.0,0.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,69984862.0,33000000.0,102984862.0,7.781293,100.0,18.450000000000045,2100.0,6.4,5.947368421052632
74.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,23956241.0,50000000.0,73956241.0,5.716009,146.0,20.950000000000045,401.0,7.2,13.24561403508772
59.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,741969268.0,75000000.0,816969268.0,17.634197,145.0,24.200000000000045,3334.0,6.7,92.82456140350877
55.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3596911.0,28000000.0,31596911.0,10.193549,139.0,25.366666666666788,151.0,6.5,26.789473684210527
71.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,1,0.0,0.0,0.0,5.378467,103.0,25.950000000000045,64.0,6.5,8.947368421052632
